produto;classificação;unidade/peso;menor;comum;maior;quilo;data
ABACAXI PEROLA;C MIUDO        ;UND ;2,16;2,59;3,02;1;19/09/2018
ACEROLA FRESCA;-;KG  ;13,43;14,43;15,43;1;19/09/2018
AMEIXA ESTRANG. ESPANHOLA;-;KG  ;8,29;9,07;9,84;1;19/09/2018
ATEMOIA ;12 FRUTOS      ;KG  ;8,75;9,75;10,75;1;19/09/2018
ATEMOIA ;15 FRUTOS      ;KG  ;7,18;7,97;8,75;1;19/09/2018
ATEMOIA ;8/10 FRUTOS    ;KG  ;10,75;11,75;12,75;1;19/09/2018
BANANA MACA;-;KG  ;3,86;4,3;4,63;1;19/09/2018
BANANA NANICA CLIMAT.;-;KG  ;1,75;1,91;2,05;1;19/09/2018
BANANA OURO;-;KG  ;4,15;4,64;4,93;1;19/09/2018
BANANA PRATA MG;-;KG  ;1,87;2,07;2,22;1;19/09/2018
BANANA PRATA SP;-;KG  ;1,74;1,9;2,06;1;19/09/2018
BANANA TERRA;-;KG  ;2,38;2,64;2,91;1;19/09/2018
CAJU ;A              ;KG  ;14;15;16;1;19/09/2018
CAJU ;B              ;KG  ;11,25;12,25;13,25;1;19/09/2018
CARAMBOLA ;-;KG  ;6,41;7,26;8,11;1;19/09/2018
CEREJA ESTRANG. AMERICANA;-;KG  ;57,97;58,98;59,99;1;19/09/2018
COCO VERDE ;-;UND ;1,36;1,43;1,5;2,5;19/09/2018
FIGO ;A              ;KG  ;23,99;24,99;25,99;1;19/09/2018
FIGO ;B              ;KG  ;20,29;21,29;22,29;1;19/09/2018
FRUTA DO CONDE ;12 FRUTOS      ;KG  ;7,85;8,85;9,85;1;19/09/2018
FRUTA DO CONDE ;15 FRUTOS      ;KG  ;5,85;6,85;7,85;1;19/09/2018
FRUTA DO CONDE ;18 FRUTOS      ;KG  ;4,85;5,33;5,85;1;19/09/2018
FRUTA DO CONDE ;9/10 FRUTOS    ;KG  ;9,85;10,85;11,85;1;19/09/2018
GOIABA BRANCA;12 FRUTOS      ;KG  ;3,99;4,4;4,81;1;19/09/2018
GOIABA BRANCA;15 FRUTOS      ;KG  ;3,99;4,4;4,81;1;19/09/2018
GOIABA BRANCA;18 FRUTOS      ;KG  ;3,11;3,49;3,88;1;19/09/2018
GOIABA BRANCA;9 FRUTOS       ;KG  ;3,99;4,4;4,81;1;19/09/2018
GOIABA VERMELHA;12 FRUTOS      ;KG  ;4,29;4,68;5,06;1;19/09/2018
GOIABA VERMELHA;15 FRUTOS      ;KG  ;4,29;4,68;5,06;1;19/09/2018
GOIABA VERMELHA;18 FRUTOS      ;KG  ;3,38;3,74;4,09;1;19/09/2018
GOIABA VERMELHA;9 FRUTOS       ;KG  ;4,29;4,68;5,06;1;19/09/2018
GRAVIOLA ;-;KG  ;5,46;5,95;6,43;1;19/09/2018
JABUTICABA ;-;KG  ;16,32;17,35;18,4;1;19/09/2018
JACA ;-;KG  ;2;2,2;2,5;1;19/09/2018
KIWI ESTRANG. CHILENO;-;KG  ;7,36;7,88;8,37;1;19/09/2018
KIWI ESTRANG. NOVA ZELANDIA;-;KG  ;12,08;14,04;16;1;19/09/2018
LARANJA BAIA;A (7/10 DZ)    ;KG  ;2,34;2,45;2,56;1;19/09/2018
LARANJA BAIA;B (11/13 DZ)   ;KG  ;2,14;2,24;2,34;1;19/09/2018
LARANJA BAIA;C (14/15 DZ)   ;KG  ;1,83;1,96;2,08;1;19/09/2018
LARANJA LIMA;A (9/12 DZ)    ;KG  ;2,03;2,13;2,2;1;19/09/2018
LARANJA LIMA;B (13/15 DZ)   ;KG  ;1,8;1,9;2;1;19/09/2018
LARANJA LIMA;C (16/21 DZ)   ;KG  ;1,57;1,67;1,77;1;19/09/2018
LARANJA PERA;A (9/12 DZ)    ;KG  ;1,66;1,75;1,82;1;19/09/2018
LARANJA PERA;B (13/15 DZ)   ;KG  ;1,51;1,59;1,66;1;19/09/2018
LARANJA PERA;C (16/21 DZ)   ;KG  ;1,34;1,42;1,51;1;19/09/2018
LARANJA SELETA;A (8/10 DZ)    ;KG  ;1,47;1,57;1,64;1;19/09/2018
LARANJA SELETA;B (11/13 DZ)   ;KG  ;1,3;1,37;1,44;1;19/09/2018
LARANJA SELETA;C (18/21 DZ)   ;KG  ;1,15;1,22;1,3;1;19/09/2018
LIMA PERSIA;A (9/10 DZ)    ;KG  ;2,79;2,92;3,04;1;19/09/2018
LIMA PERSIA;B (13/15 DZ)   ;KG  ;2,37;2,58;2,78;1;19/09/2018
LIMA PERSIA;C (18/24 DZ)   ;KG  ;1,95;2,15;2,36;1;19/09/2018
LIMAO TAITI;A (15/18 DZ)   ;KG  ;5,6;5,88;6,19;1;19/09/2018
LIMAO TAITI;B (21/27 DZ)   ;KG  ;5,07;5,36;5,6;1;19/09/2018
LIMAO TAITI;C (+ de 31 DZ) ;KG  ;4,2;4,64;5;1;19/09/2018
MACA ESTRANG. GRANNY SMITH;80-162 FRUTOS  ;KG  ;4,86;5,24;5,62;1;19/09/2018
MACA ESTRANG. RED DEL;80-163 FRUTOS  ;KG  ;5,47;6,24;6,93;1;19/09/2018
MACA NACIONAL FUJI;110-135 FRUTOS ;KG  ;5,05;5,3;5,52;1;19/09/2018
MACA NACIONAL FUJI;150-180 FRUTOS ;KG  ;4,33;4,58;4,81;1;19/09/2018
MACA NACIONAL FUJI;80-100 FRUTOS  ;KG  ;5,56;5,78;6,02;1;19/09/2018
MACA NACIONAL GALA;110-135 FRUTOS ;KG  ;4,97;5,24;5,47;1;19/09/2018
MACA NACIONAL GALA;150-180 FRUTOS ;KG  ;4,31;4,6;4,86;1;19/09/2018
MACA NACIONAL GALA;80-100 FRUTOS  ;KG  ;5,48;5,71;5,96;1;19/09/2018
MAMAO FORMOSA;A              ;KG  ;2,78;2,93;3,08;1;19/09/2018
MAMAO FORMOSA;B              ;KG  ;2,35;2,5;2,68;1;19/09/2018
MAMAO HAVAI;12 FRUTOS      ;KG  ;2,09;2,24;2,37;1;19/09/2018
MAMAO HAVAI;15 FRUTOS      ;KG  ;2,14;2,28;2,41;1;19/09/2018
MAMAO HAVAI;18 FRUTOS      ;KG  ;2,11;2,25;2,39;1;19/09/2018
MAMAO HAVAI;21 FRUTOS      ;KG  ;1,78;1,92;2,07;1;19/09/2018
MAMAO HAVAI;24/28 FRUTOS   ;KG  ;1,51;1,66;1,81;1;19/09/2018
MANGA HADEM;12 FRUTOS      ;KG  ;4,79;5,29;5,79;1;19/09/2018
MANGA HADEM;15 FRUTOS      ;KG  ;3,79;4,29;4,79;1;19/09/2018
MANGA HADEM;18 FRUTOS      ;KG  ;3,29;3,57;3,79;1;19/09/2018
MANGA HADEM;9 FRUTOS       ;KG  ;4,79;5,29;5,79;1;19/09/2018
MANGA PALMER;12 FRUTOS      ;KG  ;3;3,21;3,41;1;19/09/2018
MANGA PALMER;15 FRUTOS      ;KG  ;2,48;2,68;2,89;1;19/09/2018
MANGA PALMER;18 FRUTOS      ;KG  ;1,96;2,16;2,37;1;19/09/2018
MANGA PALMER;9 FRUTOS       ;KG  ;3,02;3,22;3,43;1;19/09/2018
MANGA TOMMY ATKINS;12 FRUTOS      ;KG  ;2,85;2,95;3,05;1;19/09/2018
MANGA TOMMY ATKINS;15 FRUTOS      ;KG  ;2,5;2,6;2,7;1;19/09/2018
MANGA TOMMY ATKINS;18 FRUTOS      ;KG  ;2,15;2,25;2,35;1;19/09/2018
MARACUJA AZEDO;A              ;KG  ;4,02;4,12;4,22;1;19/09/2018
MARACUJA AZEDO;B              ;KG  ;3,62;3,73;3,83;1;19/09/2018
MARACUJA AZEDO;C              ;KG  ;3,16;3,3;3,43;1;19/09/2018
MARACUJA DOCE;10 FRUTOS      ;KG  ;6,66;7,25;7,84;1;19/09/2018
MARACUJA DOCE;12 FRUTOS      ;KG  ;4,93;5,52;6,11;1;19/09/2018
MARACUJA DOCE;15 FRUTOS      ;KG  ;3,55;3,98;4,42;1;19/09/2018
MARACUJA DOCE;8 FRUTOS       ;KG  ;6,66;7,25;7,84;1;19/09/2018
MELANCIA REDON/COMPRIDA;GRAUDA maior 10;KG  ;1,69;1,71;1,8;1;19/09/2018
MELANCIA REDON/COMPRIDA;MEDIA De 7 a 10;KG  ;1,55;1,64;1,69;1;19/09/2018
MELANCIA REDON/COMPRIDA;MIUDA menor 7 k;KG  ;1,34;1,4;1,46;1;19/09/2018
MELAO AMARELO;10/11 FRUTOS   ;KG  ;2,35;2,46;2,57;1;19/09/2018
MELAO AMARELO;12/14 FRUTOS   ;KG  ;1,96;2,07;2,18;1;19/09/2018
MELAO AMARELO;6/7 FRUTOS     ;KG  ;2,66;2,77;2,88;1;19/09/2018
MELAO AMARELO;8/9 FRUTOS     ;KG  ;2,66;2,77;2,88;1;19/09/2018
MEXERICA RIO;A              ;KG  ;4,4;4,56;4,72;1;19/09/2018
MEXERICA RIO;B              ;KG  ;3,87;4,04;4,22;1;19/09/2018
MEXERICA RIO;C              ;KG  ;3,33;3,54;3,7;1;19/09/2018
MORANGO CAMINHO REAL;-;KG  ;11,34;12,34;13,34;1;19/09/2018
MORANGO COMUM;-;KG  ;8,44;9,44;10,44;1;19/09/2018
NECTARINA ESTRA ESPANHOLA;-;KG  ;8,11;9,05;10,12;1;19/09/2018
NESPERA ;(4 CUMBUCA )   ;KG  ;18,35;19,46;20,58;1;19/09/2018
PERA ESTRANG. DANJOU;-;KG  ;4,82;5,21;5,63;1;19/09/2018
PERA ESTRANG. PACK-S TRIUMPH;-;KG  ;4,77;5,11;5,47;1;19/09/2018
PERA ESTRANG. ROCHA;-;KG  ;7,78;8,28;8,78;1;19/09/2018
PERA ESTRANG. WILLIAM-S;-;KG  ;5,12;5,6;6,08;1;19/09/2018
PESSEGO ESTRANG ESPANHOL;-;KG  ;7,06;7,67;8,31;1;19/09/2018
QUINCAM ;-;KG  ;18;19;20;1;19/09/2018
ROMA ;-;KG  ;16,63;17,63;18,63;1;19/09/2018
TANGERINA MURCOT;A (8/10 DZ)    ;KG  ;2,39;2,56;2,7;1;19/09/2018
TANGERINA MURCOT;B (11/12 DZ)   ;KG  ;2;2,19;2,37;1;19/09/2018
TANGERINA MURCOT;C (13/15 DZ)   ;KG  ;1,56;1,76;1,93;1;19/09/2018
UVA BENITAKA;-;KG  ;4,87;5,58;6,3;1;19/09/2018
UVA BRASIL;ESPECIAL       ;KG  ;4,06;4,56;5,06;1;19/09/2018
UVA BRASIL;EXTRA          ;KG  ;5,06;5,56;6,06;1;19/09/2018
UVA BRASIL;EXTRA A        ;KG  ;6,06;6,56;7,06;1;19/09/2018
UVA CRINSSON;-;KG  ;7,17;8,16;9,15;1;19/09/2018
UVA ESTRANG. RED GLOBE;-;KG  ;9;9,5;10;1;19/09/2018
UVA ITALIA;ESPECIAL       ;KG  ;3,83;4,33;4,83;1;19/09/2018
UVA ITALIA;EXTRA          ;KG  ;4,83;5,33;5,83;1;19/09/2018
UVA ITALIA;EXTRA A        ;KG  ;5,83;6,33;6,83;1;19/09/2018
UVA NIAGARA;ESPECIAL       ;KG  ;4,16;4,66;5,16;1;19/09/2018
UVA NIAGARA;EXTRA          ;KG  ;5,16;5,67;6,17;1;19/09/2018
UVA NIAGARA;EXTRA A        ;KG  ;6,17;6,67;7,17;1;19/09/2018
UVA RED GLOBE;-;KG  ;6,02;6,96;7,93;1;19/09/2018
UVA RUBI;ESPECIAL       ;KG  ;3,52;4,02;4,52;1;19/09/2018
UVA RUBI;EXTRA          ;KG  ;4,52;5,02;5,52;1;19/09/2018
UVA RUBI;EXTRA A        ;KG  ;5,52;6,02;6,52;1;19/09/2018
UVA THOMPSON;-;KG  ;7,46;8,46;9,46;1;19/09/2018
UVA VITORIA;-;KG  ;6,81;7,52;8,23;1;19/09/2018
ABOBORA JAPONESA;-;KG  ;1,36;1,55;1,82;1;18/09/2018
ABOBORA MORANGA;-;KG  ;1,12;1,34;1,6;1;18/09/2018
ABOBORA PAULISTA;-;KG  ;2,44;2,62;2,86;1;18/09/2018
ABOBORA SECA;-;KG  ;1,58;1,92;2,21;1;18/09/2018
ABOBRINHA BRASILEIRA;EXTRA          ;KG  ;1,5;1,65;1,8;1;18/09/2018
ABOBRINHA BRASILEIRA;EXTRA A        ;KG  ;1,91;2,03;2,15;1;18/09/2018
ABOBRINHA BRASILEIRA;EXTRA AA       ;KG  ;2,27;2,4;2,53;1;18/09/2018
ABOBRINHA ITALIANA;EXTRA          ;KG  ;1,61;1,73;1,85;1;18/09/2018
ABOBRINHA ITALIANA;EXTRA A        ;KG  ;1,99;2,12;2,24;1;18/09/2018
ABOBRINHA ITALIANA;EXTRA AA       ;KG  ;2,36;2,46;2,57;1;18/09/2018
ALCACHOFRA ;GRAUDA         ;CB  ;9,16;9,55;9,94;0,25;18/09/2018
ALCACHOFRA ;MEDIA          ;CB  ;8,24;8,65;8,96;0,2;18/09/2018
ALCACHOFRA ;MIUDA          ;CB  ;6;6,49;6,97;0,1;18/09/2018
BATATA DOCE AMARELA;EXTRA          ;KG  ;2,2;2,36;2,51;1;18/09/2018
BATATA DOCE AMARELA;EXTRA A        ;KG  ;2,8;2,96;3,11;1;18/09/2018
BATATA DOCE AMARELA;EXTRA AA       ;KG  ;3,3;3,46;3,61;1;18/09/2018
BATATA DOCE ROSADA;EXTRA          ;KG  ;1,59;1,73;1,88;1;18/09/2018
BATATA DOCE ROSADA;EXTRA A        ;KG  ;2,09;2,24;2,39;1;18/09/2018
BATATA DOCE ROSADA;EXTRA AA       ;KG  ;2,62;2,76;2,9;1;18/09/2018
BERINJELA ;EXTRA          ;KG  ;1,81;1,97;2,12;1;18/09/2018
BERINJELA ;EXTRA A        ;KG  ;2,23;2,37;2,52;1;18/09/2018
BERINJELA ;EXTRA AA       ;KG  ;2,64;2,8;2,94;1;18/09/2018
BERINJELA CONSERVA;ESPECIAL       ;KG  ;4;4,5;5;1;18/09/2018
BERINJELA CONSERVA;EXTRA          ;KG  ;5;5,5;6;1;18/09/2018
BERINJELA CONSERVA;PRIMEIRA       ;KG  ;3;3,5;4;1;18/09/2018
BERINJELA JAPONESA;ESPECIAL       ;KG  ;2,46;2,96;3,46;1;18/09/2018
BERINJELA JAPONESA;EXTRA          ;KG  ;3,46;3,96;4,46;1;18/09/2018
BERINJELA JAPONESA;PRIMEIRA       ;KG  ;1,96;2,26;2,46;1;18/09/2018
BETERRABA ;EXTRA          ;KG  ;1,23;1,33;1,44;1;18/09/2018
BETERRABA ;EXTRA A        ;KG  ;1,46;1,56;1,67;1;18/09/2018
BETERRABA ;EXTRA AA       ;KG  ;1,67;1,77;1,88;1;18/09/2018
CARA ;EXTRA          ;KG  ;1,54;1,71;1,87;1;18/09/2018
CARA ;EXTRA A        ;KG  ;2,03;2,17;2,32;1;18/09/2018
CENOURA ;EXTRA          ;KG  ;1,41;1,51;1,61;1;18/09/2018
CENOURA ;EXTRA A        ;KG  ;1,83;1,93;2,03;1;18/09/2018
CENOURA ;EXTRA AA       ;KG  ;2,14;2,25;2,36;1;18/09/2018
CHUCHU ;EXTRA          ;KG  ;1,24;1,39;1,52;1;18/09/2018
CHUCHU ;EXTRA A        ;KG  ;1,6;1,74;1,88;1;18/09/2018
CHUCHU ;EXTRA AA       ;KG  ;1,93;2,04;2,16;1;18/09/2018
ERVILHA TORTA;EXTRA          ;KG  ;3,04;3,54;4,04;1;18/09/2018
ERVILHA TORTA;EXTRA A        ;KG  ;4,08;4,6;5,12;1;18/09/2018
ERVILHA TORTA;EXTRA AA       ;KG  ;5,12;5,64;6,16;1;18/09/2018
FEIJAO CORADO ;ESPECIAL       ;KG  ;5;6;7;1;18/09/2018
FEIJAO CORADO ;EXTRA          ;KG  ;8;9;10;1;18/09/2018
GENGIBRE ;-;KG  ;1,84;2,13;2,42;1;18/09/2018
INHAME ;ESPECIAL       ;KG  ;1,38;1,51;1,64;1;18/09/2018
INHAME ;EXTRA          ;KG  ;1,75;1,88;2,02;1;18/09/2018
INHAME ;EXTRA A        ;KG  ;2,18;2,3;2,43;1;18/09/2018
JILO REDONDO;EXTRA          ;KG  ;2,49;2,8;3,14;1;18/09/2018
JILO REDONDO;EXTRA A        ;KG  ;3,27;3,57;3,88;1;18/09/2018
JILO REDONDO;EXTRA AA       ;KG  ;3,98;4,28;4,59;1;18/09/2018
MANDIOCA ;GRAUDA         ;KG  ;1,38;1,48;1,58;1;18/09/2018
MANDIOCA ;MEDIA          ;KG  ;1,18;1,28;1,38;1;18/09/2018
MANDIOCA ;MIUDA          ;KG  ;0,96;1,06;1,16;1;18/09/2018
MANDIOQUINHA ;EXTRA A        ;KG  ;2,54;2,79;3,03;1;18/09/2018
MANDIOQUINHA ;EXTRA AA       ;KG  ;3,31;3,59;3,83;1;18/09/2018
MANDIOQUINHA ;EXTRA AAA      ;KG  ;4,07;4,36;4,65;1;18/09/2018
MAXIXE ;-;KG  ;3,6;3,94;4,28;1;18/09/2018
PEPINO CAIPIRA;EXTRA          ;KG  ;1,68;1,85;2,01;1;18/09/2018
PEPINO CAIPIRA;EXTRA A        ;KG  ;2,23;2,35;2,48;1;18/09/2018
PEPINO CAIPIRA;EXTRA AA       ;KG  ;2,68;2,79;2,91;1;18/09/2018
PEPINO COMUM;EXTRA          ;KG  ;1,56;1,71;1,86;1;18/09/2018
PEPINO COMUM;EXTRA A        ;KG  ;2,01;2,15;2,3;1;18/09/2018
PEPINO COMUM;EXTRA AA       ;KG  ;2,44;2,57;2,69;1;18/09/2018
PEPINO JAPONES;EXTRA          ;KG  ;1,73;1,93;2,11;1;18/09/2018
PEPINO JAPONES;EXTRA A        ;KG  ;2,26;2,44;2,62;1;18/09/2018
PEPINO JAPONES;EXTRA AA       ;KG  ;2,74;2,93;3,11;1;18/09/2018
PIMENTA * VERMELHA;EXTRA A        ;KG  ;5,91;6,79;7,67;1;18/09/2018
PIMENTA * VERMELHA;EXTRA AA       ;KG  ;7,67;8,59;9,52;1;18/09/2018
PIMENTA CAMBUCI;EXTRA A        ;KG  ;3,32;3,79;4,27;1;18/09/2018
PIMENTA CAMBUCI;EXTRA AA       ;KG  ;4,36;5,05;5,73;1;18/09/2018
PIMENTA VERDE AMERICANA;EXTRA          ;KG  ;3,02;3,24;3,48;1;18/09/2018
PIMENTA VERDE AMERICANA;EXTRA A        ;KG  ;3,63;3,95;4,23;1;18/09/2018
PIMENTA VERDE AMERICANA;EXTRA AA       ;KG  ;4,3;4,68;5,05;1;18/09/2018
PIMENTAO AMARELO;EXTRA AA       ;KG  ;3,2;4,12;5,03;1;18/09/2018
PIMENTAO VERDE;EXTRA          ;KG  ;1,7;1,89;2,06;1;18/09/2018
PIMENTAO VERDE;EXTRA A        ;KG  ;2,2;2,4;2,61;1;18/09/2018
PIMENTAO VERDE;EXTRA AA       ;KG  ;2,71;2,9;3,07;1;18/09/2018
PIMENTAO VERMELHO;EXTRA          ;KG  ;2,99;3,32;3,65;1;18/09/2018
PIMENTAO VERMELHO;EXTRA A        ;KG  ;3,96;4,31;4,66;1;18/09/2018
PIMENTAO VERMELHO;EXTRA AA       ;KG  ;4,89;5,26;5,63;1;18/09/2018
QUIABO LISO;EXTRA          ;KG  ;4,23;4,64;5,04;1;18/09/2018
QUIABO LISO;EXTRA A        ;KG  ;5,1;5,52;5,93;1;18/09/2018
QUIABO LISO;EXTRA AA       ;KG  ;5,97;6,26;6,61;1;18/09/2018
TOMATE ACHATADO;EXTRA A        ;KG  ;1,33;1,48;1,62;1;18/09/2018
TOMATE ACHATADO;EXTRA AA       ;KG  ;1,7;1,87;2,03;1;18/09/2018
TOMATE ACHATADO;EXTRA AAA      ;KG  ;2,12;2,27;2,43;1;18/09/2018
TOMATE CAQUI;EXTRA AA       ;KG  ;3,69;4,82;6,04;1;18/09/2018
TOMATE CEREJA;EXTRA AA       ;KG  ;4,46;4,97;5,49;1;18/09/2018
TOMATE HOLANDES;-;KG  ;4,14;4,76;5,41;1;18/09/2018
TOMATE ITALIANO;EXTRA A        ;KG  ;1,42;1,57;1,72;1;18/09/2018
TOMATE ITALIANO;EXTRA AA       ;KG  ;1,79;1,96;2,12;1;18/09/2018
TOMATE ITALIANO;EXTRA AAA      ;KG  ;2,19;2,36;2,52;1;18/09/2018
TOMATE OBLONGO;EXTRA A        ;KG  ;1,32;1,49;1,66;1;18/09/2018
TOMATE OBLONGO;EXTRA AA       ;KG  ;1,74;1,92;2,09;1;18/09/2018
TOMATE OBLONGO;EXTRA AAA      ;KG  ;2,12;2,27;2,43;1;18/09/2018
TOMATE SWEET GRAPE;EXTRA AA       ;KG  ;7,08;8,01;8,94;1;18/09/2018
VAGEM MACARRAO CURTA;EXTRA          ;KG  ;3,71;4,03;4,34;1;18/09/2018
VAGEM MACARRAO CURTA;EXTRA A        ;KG  ;4,77;5,01;5,24;1;18/09/2018
VAGEM MACARRAO CURTA;EXTRA AA       ;KG  ;5,28;5,55;5,78;1;18/09/2018
VAGEM MANTEIGA;EXTRA          ;KG  ;5,2;5,4;5,6;1;18/09/2018
VAGEM MANTEIGA;EXTRA A        ;KG  ;5,8;6;6,2;1;18/09/2018
VAGEM MANTEIGA;EXTRA AA       ;KG  ;6,5;6,7;6,9;1;18/09/2018
ACELGA ;ESPECIAL       ;ENG ;9;10;11;12;17/09/2018
ACELGA ;EXTRA          ;ENG ;11,45;12,45;13,45;12;17/09/2018
ACELGA ;PRIMEIRA       ;ENG ;7,04;8,04;9,04;12;17/09/2018
AGRIAO ;ESPECIAL       ;ENG ;16,48;17,48;18,48;12;17/09/2018
AGRIAO ;EXTRA          ;ENG ;19,48;20,48;21,48;12;17/09/2018
AGRIAO ;HIDROPONICO    ;ENG ;18,66;19,66;21,17;4;17/09/2018
AGRIAO ;PRIMEIRA       ;ENG ;11,48;12,48;13,48;12;17/09/2018
ALFACE AMERICANA;ESPECIAL       ;ENG ;10,52;11,52;12,52;10;17/09/2018
ALFACE AMERICANA;EXTRA          ;ENG ;14,01;15,01;16,01;10;17/09/2018
ALFACE AMERICANA;PRIMEIRA       ;ENG ;8,72;9,72;10,72;10;17/09/2018
ALFACE CRESPA;ESPECIAL       ;ENG ;10,17;11,17;12,17;7;17/09/2018
ALFACE CRESPA;EXTRA          ;ENG ;12,7;13,7;14,7;7;17/09/2018
ALFACE CRESPA;HIDROPONICA    ;ENG ;16,37;17,37;18,37;4;17/09/2018
ALFACE CRESPA;PRIMEIRA       ;ENG ;7,5;8,43;9,36;7;17/09/2018
ALFACE LISA;ESPECIAL       ;ENG ;12,02;13,02;14,02;8;17/09/2018
ALFACE LISA;EXTRA          ;ENG ;13,95;14,95;15,95;8;17/09/2018
ALFACE LISA;HIDROPONICA    ;ENG ;16,47;17,47;18,47;4;17/09/2018
ALFACE LISA;PRIMEIRA       ;ENG ;8,74;9,74;10,74;8;17/09/2018
ALFACE MIMOSA;HIDROPONICA    ;ENG ;16,47;17,47;18,47;4;17/09/2018
ALFACE ROMANA;-;ENG ;7,06;11;15;8;17/09/2018
ALHO PORRO ;ESPECIAL       ;DZMC;6,58;7,55;8,53;2;17/09/2018
ALHO PORRO ;EXTRA          ;DZMC;8,57;9,57;10,57;2;17/09/2018
ALHO PORRO ;PRIMEIRA       ;DZMC;5,28;5,93;6,57;2;17/09/2018
ALMEIRAO ;ESPECIAL       ;DZMC;14,42;15,42;16,42;6;17/09/2018
ALMEIRAO ;EXTRA          ;DZMC;17,42;18,42;19,42;6;17/09/2018
ALMEIRAO ;PRIMEIRA       ;DZMC;10;11;12;6;17/09/2018
ALMEIRAO PAO DE ACUCAR;ESPECIAL       ;DZMC;13,28;14,28;15,28;12;17/09/2018
ALMEIRAO PAO DE ACUCAR;EXTRA          ;DZMC;16,28;17,28;18,28;12;17/09/2018
ALMEIRAO PAO DE ACUCAR;PRIMEIRA       ;DZMC;10;11;12;12;17/09/2018
ASPARGO ;-;MC  ;11,26;12,26;13,26;0,5;17/09/2018
BETERRABA C/FOL ;ESPECIAL       ;ENG ;15;16;17;20;17/09/2018
BETERRABA C/FOL ;EXTRA          ;ENG ;18;19;20;20;17/09/2018
BETERRABA C/FOL ;PRIMEIRA       ;ENG ;10;11;12;20;17/09/2018
BROCOLOS ;ESPECIAL       ;DZMC;31,23;32,23;33,23;15;17/09/2018
BROCOLOS ;EXTRA          ;DZMC;36,1;37,96;39,39;15;17/09/2018
BROCOLOS NINJA;-;ENG ;17,89;19,37;20,61;8;17/09/2018
CATALONHA ;-;DZMC;8,41;10,82;12,82;6;17/09/2018
CEBOLINHA ;ESPECIAL       ;MC  ;6,33;7,27;8,19;1,2;17/09/2018
CEBOLINHA ;EXTRA          ;MC  ;8,81;9,81;10,81;1,35;17/09/2018
CENOURA C/FOLHA ;ESPECIAL       ;ENG ;18,41;19,41;20,41;20;17/09/2018
CENOURA C/FOLHA ;EXTRA          ;ENG ;22,21;23,21;24,21;20;17/09/2018
CENOURA C/FOLHA ;PRIMEIRA       ;ENG ;14,21;15,21;16,21;20;17/09/2018
CHICORIA ;-;DZMC;8,58;11,28;13,88;6;17/09/2018
COENTRO ;ESPECIAL       ;DZMC;20,07;21,44;22,62;6;17/09/2018
COENTRO ;EXTRA          ;DZMC;24;26,57;28,71;6;17/09/2018
COGUMELO PARIS;-;PCT ;4;4,48;4,95;0,25;17/09/2018
COGUMELO SHIMEJI;-;PCT ;5,93;6,4;6,86;0,2;17/09/2018
COGUMELO SHITAKE;-;PCT ;6,04;6,44;6,79;0,2;17/09/2018
COUVE ;ESPECIAL       ;DZMC;8,93;9,81;10,66;6;17/09/2018
COUVE ;EXTRA          ;DZMC;11,42;12,32;13,23;6;17/09/2018
COUVE ;PRIMEIRA       ;DZMC;7,16;8,04;8,91;6;17/09/2018
COUVE BRUXELAS;EXTRA          ;PCT ;2,61;2,91;3,11;0,25;17/09/2018
COUVE FLOR ;ESPECIAL       ;ENG ;19,71;20,71;21,71;8;17/09/2018
COUVE FLOR ;EXTRA          ;ENG ;22,56;23,56;24,56;8;17/09/2018
COUVE FLOR ;PRIMEIRA       ;ENG ;14,71;15,71;16,71;8;17/09/2018
ERVA DOCE ;ESPECIAL       ;DZMC;17,67;18,67;19,67;8;17/09/2018
ERVA DOCE ;EXTRA          ;DZMC;21,73;23,79;25,32;8;17/09/2018
ERVA DOCE ;PRIMEIRA       ;DZMC;12,21;14,09;15,53;8;17/09/2018
ESCAROLA ;ESPECIAL       ;ENG ;12,57;13,57;14,57;8;17/09/2018
ESCAROLA ;EXTRA          ;ENG ;15,38;16,38;17,38;8;17/09/2018
ESCAROLA ;HIDROPONICA    ;ENG ;16,96;17,96;20;4;17/09/2018
ESCAROLA ;PRIMEIRA       ;ENG ;9,17;10,17;11,17;8;17/09/2018
ESPINAFRE ;ESPECIAL       ;DZMC;10,84;11,84;12,84;6;17/09/2018
ESPINAFRE ;EXTRA          ;DZMC;13,64;14,64;15,64;6;17/09/2018
ESPINAFRE ;PRIMEIRA       ;DZMC;8,62;9,59;10,56;6;17/09/2018
GOBO ;EXTRA          ;MC  ;6,44;7,44;8,44;1;17/09/2018
HORTELA ;-;MC  ;2,14;2,68;3,2;0,15;17/09/2018
LOURO ;-;MC  ;2;2,5;2,99;0,2;17/09/2018
MANJERICÇO ;-;M  ;1,5;1,8;2;0,15;17/09/2018
MILHO VERDE ;-;BD  ;2,49;2,6;2,7;0,7;17/09/2018
MILHO VERDE ;ESPECIAL       ;KG  ;1,54;1,59;1,62;1;17/09/2018
MILHO VERDE ;EXTRA          ;KG  ;1,63;1,68;1,73;1;17/09/2018
MOIASHI ;-;PCT ;3,99;4,49;4,99;0,5;17/09/2018
MOSTARDA ;-;DZMC;13,07;15,29;16,91;6;17/09/2018
NABO ;ESPECIAL       ;MC  ;5,22;5,72;6,19;3;17/09/2018
